492318,1107682
311864,691707
478997,902310
344214,753762
309917,706140
464223,1118601
493220,970149
369666,947797
592851,764907
636208,875429
434272,827490
335666,787644
343004,777825
444108,989464
562929,1018426
818111,1285480
321548,668784
270412,629905
259184,705358
408010,1044469
455783,841330
341696,644044
349964,702044
249598,655640
286210,542479
238114,559934
240823,655178
241328,561606
286172,593055
340793,626213
466515,880098
424303,589903
233655,552011
240558,555460
435951,663566
549773,1017778
594889,1106540
293620,723791
330454,663711
274580,602037
414320,638361
285614,649559
584018,700655
334526,558659
257880,615170
429325,877834
290499,742104
277068,549733
374218,582625
276979,837642
458963,699248
263370,693252
322956,582320
249566,913027
545936,545628
310151,580086
922236,897603
484769,1010331
293050,880060
272433,553910
230667,758316
234549,627778
531600,1286304
261387,837675
401031,720235
500753,649416
260265,637429
572786,711456
896799,883522
454282,862638
317844,670596
267491,866300
375279,546495
246368,807281
334207,616445
241208,816094
226788,538596
449579,831512
958828,882074
333100,1049670
589654,596140
355165,609009
257216,1161184
413522,693315
298952,866255
275373,613271
294505,1033869
300486,804584
357173,696891
537204,752089
377365,810274
673006,624315
427907,784386
257560,844504
225651,551140
370135,1217594
324467,633822
262428,754906
236160,608631
244756,830242
